编号,物种,岛屿,性别,喙长_mm,喙深_mm,鳍肢长_mm,体重_g,窝卵数,巢穴类型,年龄_岁
PG0316,Adelie,Biscoe,MALE,37.3,19.5,193,4230,2,卵石,12.6
PG0317,Adelie,Biscoe,FEMALE,31.8,18.2,194,4281,2,草地,5.6
PG0318,Adelie,Biscoe,FEMALE,35.9,18.0,187,3091,2,NaN,8.2
PG0319,Adelie,Torgersen,FEMALE,43.1,20.6,194,3950,2,岩石,2.4
PG0320,Chinstrap,Dream,FEMALE,48.6,17.4,196,3422,3,卵石,3.8
PG0321,Adelie,Biscoe,MALE,42.9,17.9,193,3459,2,岩石,11.5
PG0322,Chinstrap,Dream,MALE,52.4,NaN,197,3686,2,卵石,4.8
PG0323,Adelie,Biscoe,FEMALE,39.2,19.3,195,3781,2,卵石,3.3
PG0324,Gentoo,Biscoe,MALE,47.1,17.0,216,5039,2,沙地,2.4
PG0325,Adelie,Biscoe,MALE,36.1,18.3,196,4222,2,卵石,3.6
PG0326,Adelie,Torgersen,MALE,44.3,18.1,191,3970,2,沙地,4.4
PG0327,Adelie,Dream,FEMALE,40.1,18.2,189,4031,1,草地,3.1
PG0328,Adelie,Biscoe,MALE,34.2,16.7,198,2640,3,草地,3.4
PG0329,Gentoo,Biscoe,MALE,44.7,13.6,212,5482,2,卵石,8.3
PG0330,Chinstrap,Dream,MALE,48.6,16.7,193,3198,2,卵石,8.5
PG0331,Gentoo,Biscoe,MALE,NaN,15.7,NaN,4345,1,沙地,12.5
PG0332,Chinstrap,Dream,FEMALE,46.1,18.5,190,3207,2,岩石,3.6
PG0333,Adelie,Dream,MALE,37.1,16.3,188,4228,2,沙地,9.1
PG0334,Adelie,Dream,MALE,39.3,18.0,189,4121,2,草地,6.8
PG0335,Adelie,Biscoe,FEMALE,41.9,19.4,191,4420,1,岩石,12.5
PG0336,Gentoo,Biscoe,MALE,50.0,13.8,223,5183,2,草地,5.0
PG0337,Adelie,Torgersen,FEMALE,NaN,NaN,190,3779,2,岩石,6.9
PG0338,Chinstrap,Dream,MALE,55.3,20.2,192,4215,2,岩石,10.3
PG0339,Gentoo,Biscoe,FEMALE,45.8,13.9,211,4169,2,沙地,6.0
PG0340,Adelie,Dream,MALE,35.7,17.2,178,3616,2,沙地,2.4
PG0341,Adelie,Biscoe,MALE,42.6,19.3,192,2953,1,卵石,6.7
PG0342,Adelie,Dream,FEMALE,38.7,17.0,189,3719,1,卵石,5.3
PG0343,Gentoo,Biscoe,MALE,51.6,16.6,214,4364,2,沙地,3.1
PG0344,Adelie,Dream,FEMALE,39.1,17.7,181,3715,2,卵石,13.7
PG0345,Gentoo,Biscoe,NaN,46.9,15.3,215,5375,2,卵石,13.2
PG0346,Gentoo,Biscoe,NaN,51.6,14.7,219,5924,3,草地,7.1
PG0347,Chinstrap,Dream,FEMALE,55.2,19.2,188,3763,2,岩石,NaN
PG0348,Adelie,Dream,FEMALE,37.2,20.3,NaN,3675,2,草地,11.8
PG0349,Adelie,Biscoe,FEMALE,43.1,17.6,183,3715,2,岩石,8.2
PG0350,Adelie,Dream,MALE,34.7,17.6,188,3825,2,草地,12.0
PG0351,Chinstrap,Dream,FEMALE,50.7,16.1,206,3222,2,卵石,6.4
PG0352,Adelie,Torgersen,FEMALE,42.9,18.0,202,3561,1,岩石,8.9
PG0353,Gentoo,Biscoe,FEMALE,47.8,15.3,209,5206,2,草地,4.8
PG0354,Chinstrap,Dream,FEMALE,46.9,18.5,193,NaN,1,卵石,3.3
PG0355,Gentoo,Biscoe,MALE,49.4,13.8,216,5207,2,草地,6.2
PG0356,Chinstrap,Dream,FEMALE,52.8,19.8,188,2916,1,草地,13.5
PG0357,Adelie,Torgersen,FEMALE,40.1,NaN,192,3269,3,沙地,12.3
PG0358,Adelie,Biscoe,MALE,40.8,20.2,186,3511,2,沙地,13.2
PG0359,Adelie,Dream,MALE,37.8,18.0,192,3667,NaN,卵石,10.4
PG0360,Chinstrap,Dream,MALE,47.2,19.2,184,3923,1,草地,12.2
PG0361,Adelie,Biscoe,FEMALE,NaN,17.7,184,NaN,2,草地,13.6
PG0362,Adelie,Torgersen,NaN,36.7,16.9,186,4800,2,岩石,3.6
PG0363,Adelie,Dream,MALE,36.3,20.4,197,3586,2,卵石,11.9
PG0364,Adelie,Dream,MALE,40.0,19.3,196,4440,2,沙地,12.2
PG0365,Adelie,Torgersen,MALE,40.2,18.6,198,4003,2,岩石,11.4
PG0366,Gentoo,Biscoe,MALE,51.8,15.9,225,4174,2,草地,5.8
PG0367,Adelie,Torgersen,FEMALE,42.3,18.1,201,4411,3,NaN,2.7
PG0368,Chinstrap,Dream,MALE,47.6,18.3,203,4195,1,卵石,NaN
PG0369,Adelie,Torgersen,FEMALE,42.4,18.8,180,3519,2,岩石,12.5
PG0370,Adelie,Dream,MALE,36.6,17.4,NaN,4148,2,卵石,3.9
PG0371,Gentoo,Biscoe,FEMALE,49.3,17.1,215,4811,2,草地,14.3
PG0372,Chinstrap,Dream,FEMALE,49.8,17.1,197,3957,2,NaN,2.9
PG0373,Gentoo,Biscoe,FEMALE,44.2,13.4,216,5861,2,卵石,10.8
PG0374,Gentoo,Biscoe,MALE,50.8,15.3,224,5272,NaN,沙地,9.3
PG0375,Adelie,Biscoe,FEMALE,36.9,18.1,NaN,3895,2,沙地,13.8
PG0376,Chinstrap,Dream,MALE,45.7,17.5,182,4253,3,卵石,11.3
PG0377,Gentoo,Biscoe,MALE,50.9,15.0,222,4848,2,草地,10.8
PG0378,Gentoo,Biscoe,FEMALE,51.3,15.7,216,NaN,1,卵石,6.6
PG0379,Chinstrap,Dream,MALE,54.8,16.7,197,3418,3,卵石,6.7
PG0380,Gentoo,Biscoe,FEMALE,50.0,15.5,218,NaN,2,沙地,7.4
PG0381,Gentoo,Biscoe,FEMALE,48.5,16.0,208,5539,2,草地,4.6
PG0382,Gentoo,Biscoe,FEMALE,43.8,14.2,214,5399,2,卵石,11.7
PG0383,Gentoo,Biscoe,MALE,NaN,15.4,222,4848,2,沙地,6.5
PG0384,Adelie,Torgersen,FEMALE,38.4,19.0,196,3163,2,卵石,13.9
PG0385,Adelie,Dream,MALE,41.2,18.2,189,3978,2,草地,8.8
PG0386,Chinstrap,Dream,MALE,45.1,18.0,197,3465,3,草地,5.4
PG0387,Chinstrap,Dream,MALE,44.5,17.8,191,3344,2,沙地,8.2
PG0388,Adelie,Torgersen,FEMALE,37.5,19.6,182,3849,2,沙地,2.2
PG0389,Gentoo,Biscoe,MALE,46.0,15.3,219,5898,2,卵石,8.4
PG0390,Adelie,Biscoe,FEMALE,41.5,17.9,187,3074,2,卵石,10.2
PG0391,Chinstrap,Dream,MALE,47.9,NaN,195,3909,2,沙地,NaN
PG0392,Adelie,Biscoe,MALE,41.6,19.5,190,NaN,2,草地,11.3
PG0393,Adelie,Dream,FEMALE,43.0,19.1,198,3240,1,岩石,12.1
PG0394,Gentoo,Biscoe,FEMALE,51.1,15.0,216,6043,1,沙地,13.4
PG0395,Adelie,Torgersen,MALE,39.6,17.6,189,3676,2,卵石,13.7
PG0396,Gentoo,Biscoe,NaN,51.6,15.9,206,4948,2,草地,11.2
PG0397,Chinstrap,Dream,FEMALE,50.7,19.3,195,3925,1,沙地,10.3
PG0398,Chinstrap,Dream,MALE,47.8,18.6,203,NaN,2,卵石,4.0
PG0399,Adelie,Dream,MALE,40.7,18.8,197,3850,2,卵石,9.2
PG0400,Adelie,Dream,MALE,37.4,19.2,197,3362,2,卵石,4.5
PG0401,Adelie,Dream,FEMALE,32.9,15.9,190,2927,1,沙地,3.4
PG0402,Adelie,Dream,FEMALE,40.5,18.0,190,4425,2,草地,8.9
PG0403,Adelie,Torgersen,MALE,34.4,18.4,187,3492,2,草地,4.4
PG0404,Adelie,Biscoe,FEMALE,35.7,NaN,187,3522,2,岩石,13.0
PG0405,Gentoo,Biscoe,FEMALE,44.8,14.6,206,4505,2,草地,14.4
PG0406,Gentoo,Biscoe,FEMALE,49.0,NaN,214,5230,2,卵石,2.3
PG0407,Chinstrap,Dream,MALE,53.2,19.2,194,4213,2,沙地,2.8
PG0408,Chinstrap,Dream,FEMALE,50.5,18.9,203,4232,3,草地,14.0
PG0409,Adelie,Torgersen,FEMALE,37.3,17.4,194,3580,2,岩石,7.9
PG0410,Gentoo,Biscoe,FEMALE,46.3,15.1,225,5244,2,沙地,2.9
PG0411,Gentoo,Biscoe,FEMALE,51.6,14.8,214,4512,2,沙地,11.8
PG0412,Adelie,Biscoe,FEMALE,39.2,18.7,NaN,4171,2,草地,13.2
PG0413,Adelie,Dream,MALE,39.6,16.5,189,3231,2,岩石,12.0
PG0414,Gentoo,Biscoe,FEMALE,46.6,16.6,213,4744,1,草地,2.0
PG0415,Chinstrap,Dream,MALE,55.0,17.1,190,3206,1,岩石,9.4
PG0416,Gentoo,Biscoe,MALE,47.1,14.4,NaN,NaN,2,草地,3.7
PG0417,Adelie,Biscoe,NaN,38.7,19.5,187,4327,2,岩石,2.3
PG0418,Adelie,Dream,MALE,39.5,18.8,185,4091,2,卵石,13.6
PG0419,Adelie,Dream,MALE,39.2,19.7,188,3683,1,草地,10.6
PG0420,Gentoo,Biscoe,MALE,47.3,16.4,NaN,6017,2,草地,8.5
PG0421,Chinstrap,Dream,MALE,49.8,17.4,189,3549,2,草地,12.1
PG0422,Chinstrap,Dream,FEMALE,48.0,NaN,NaN,3356,2,岩石,6.8
PG0423,Gentoo,Biscoe,FEMALE,47.2,15.5,217,5670,3,草地,6.6
PG0424,Gentoo,Biscoe,FEMALE,40.1,15.7,216,5441,2,岩石,3.2
PG0425,Gentoo,Biscoe,MALE,48.6,15.2,222,4872,3,沙地,8.2
PG0426,Adelie,Biscoe,MALE,41.6,21.0,195,4336,2,草地,12.7
PG0427,Gentoo,Biscoe,MALE,47.0,16.5,214,4923,3,草地,11.2
PG0428,Gentoo,Biscoe,FEMALE,53.2,14.7,209,4594,2,卵石,13.1
PG0429,Gentoo,Biscoe,MALE,46.4,13.3,211,5755,1,卵石,14.9
PG0430,Adelie,Dream,MALE,38.6,19.8,192,3927,2,岩石,13.8
PG0431,Gentoo,Biscoe,MALE,46.5,14.1,215,3740,2,沙地,12.3
PG0432,Adelie,Torgersen,MALE,40.6,18.9,185,3970,2,沙地,14.2
PG0433,Gentoo,Biscoe,MALE,51.0,17.3,212,4514,2,沙地,3.7
PG0434,Gentoo,Biscoe,FEMALE,52.7,15.8,207,4751,3,卵石,9.8
PG0435,Gentoo,Biscoe,FEMALE,46.5,13.2,224,4934,1,沙地,10.3
PG0436,Adelie,Dream,FEMALE,36.6,19.8,181,3604,2,沙地,4.5
PG0437,Gentoo,Biscoe,MALE,49.0,14.2,212,5623,2,岩石,7.4
PG0438,Adelie,Torgersen,FEMALE,42.1,20.0,190,3700,2,卵石,10.1
PG0439,Adelie,Torgersen,MALE,35.7,17.2,195,3536,1,岩石,6.5
PG0440,Chinstrap,Dream,MALE,49.5,19.4,201,3898,2,岩石,6.2
PG0441,Gentoo,Biscoe,MALE,49.6,15.6,216,4599,3,草地,14.2
PG0442,Chinstrap,Dream,MALE,48.3,20.2,189,NaN,2,卵石,6.6
PG0443,Adelie,Dream,MALE,38.3,17.9,207,3795,2,草地,14.3
PG0444,Chinstrap,Dream,MALE,48.3,19.5,200,3731,1,沙地,6.4
PG0445,Adelie,Dream,FEMALE,36.2,19.5,198,4109,2,沙地,12.9
PG0446,Gentoo,Biscoe,FEMALE,48.6,16.8,213,5856,2,岩石,8.5
PG0447,Adelie,Torgersen,FEMALE,34.5,17.6,192,3519,3,沙地,14.4
PG0448,Gentoo,Biscoe,MALE,45.8,15.4,226,5366,2,沙地,14.9
PG0449,Gentoo,Biscoe,FEMALE,48.9,16.8,222,6166,1,草地,12.5
PG0450,Gentoo,Biscoe,MALE,44.3,15.9,221,NaN,2,草地,2.6
PG0451,Gentoo,Biscoe,FEMALE,50.0,16.0,213,4985,2,沙地,14.1
PG0452,Chinstrap,Dream,MALE,46.0,19.7,190,4182,2,卵石,14.4
PG0453,Gentoo,Biscoe,FEMALE,43.8,16.9,214,5270,2,岩石,10.0
PG0454,Chinstrap,Dream,MALE,53.5,18.4,193,3613,3,卵石,13.0
PG0455,Adelie,Dream,FEMALE,39.7,16.8,190,3910,2,岩石,13.3
PG0456,Gentoo,Biscoe,FEMALE,44.2,15.5,215,4710,2,沙地,2.9
PG0457,Gentoo,Biscoe,FEMALE,53.1,14.2,221,4896,2,草地,4.8
PG0458,Adelie,Torgersen,FEMALE,35.4,19.7,NaN,3530,2,岩石,13.3
PG0459,Gentoo,Biscoe,FEMALE,49.1,15.5,214,4456,2,沙地,11.8
PG0460,Chinstrap,Dream,MALE,50.3,19.3,199,NaN,2,沙地,14.6
PG0461,Adelie,Torgersen,MALE,38.3,19.2,189,4470,2,岩石,7.3
PG0462,Gentoo,Biscoe,MALE,45.0,15.3,226,5617,2,草地,7.9
PG0463,Adelie,Biscoe,FEMALE,37.9,19.9,192,3002,2,卵石,3.3
PG0464,Gentoo,Biscoe,MALE,49.8,13.5,207,4659,1,卵石,12.4
PG0465,Chinstrap,Dream,FEMALE,48.5,17.8,200,3685,1,岩石,9.4
PG0466,Gentoo,Biscoe,FEMALE,45.1,16.4,230,4612,2,岩石,9.4
PG0467,Gentoo,Biscoe,MALE,49.8,16.3,217,3976,2,沙地,10.4
PG0468,Chinstrap,Dream,FEMALE,49.5,16.6,194,3631,1,沙地,3.3
PG0469,Adelie,Biscoe,MALE,38.9,17.6,199,4195,2,草地,7.6
PG0470,Chinstrap,Dream,MALE,43.6,20.2,189,4531,2,沙地,5.9
PG0471,Chinstrap,Dream,FEMALE,49.0,18.2,205,4011,2,草地,10.2
PG0472,Gentoo,Biscoe,FEMALE,46.8,14.8,216,4700,2,沙地,11.2
PG0473,Adelie,Dream,FEMALE,39.7,19.6,189,3082,1,岩石,4.9
PG0474,Adelie,Biscoe,MALE,38.3,19.5,198,3198,2,岩石,12.1
PG0475,Gentoo,Biscoe,MALE,45.1,14.8,215,5155,2,岩石,10.2
PG0476,Adelie,Dream,MALE,42.3,16.5,192,3898,2,卵石,12.6
PG0477,Adelie,Dream,MALE,39.1,19.0,184,3179,2,岩石,2.9
PG0478,Chinstrap,Dream,FEMALE,50.9,18.0,192,3933,1,卵石,3.7
PG0479,Chinstrap,Dream,MALE,49.1,NaN,194,3578,2,沙地,4.1
PG0480,Gentoo,Biscoe,MALE,52.1,14.0,218,5376,2,岩石,14.2
PG0481,Adelie,Dream,FEMALE,35.9,19.3,185,3676,2,沙地,9.4
PG0482,Adelie,Dream,FEMALE,38.5,17.1,192,3715,2,草地,14.3
PG0483,Gentoo,Biscoe,FEMALE,46.0,NaN,214,5170,2,卵石,13.5
PG0484,Chinstrap,Dream,FEMALE,54.0,17.1,201,3206,3,沙地,5.8
PG0485,Gentoo,Biscoe,FEMALE,48.3,15.8,209,4247,2,沙地,14.6
PG0486,Adelie,Biscoe,FEMALE,37.6,18.6,NaN,3551,2,草地,4.9
PG0487,Gentoo,Biscoe,MALE,51.3,15.2,212,4737,3,卵石,14.8
PG0488,Adelie,Biscoe,FEMALE,41.6,20.3,194,3711,2,沙地,3.6
PG0489,Adelie,Biscoe,FEMALE,41.1,19.7,184,3551,NaN,草地,10.1
PG0490,Adelie,Biscoe,MALE,38.5,16.9,193,3656,1,草地,2.0
PG0491,Gentoo,Biscoe,MALE,47.8,14.3,212,4930,2,草地,7.3
PG0492,Adelie,Dream,MALE,37.8,17.8,195,4003,2,沙地,8.6
PG0493,Adelie,Torgersen,FEMALE,41.3,19.9,184,3398,2,卵石,11.9
PG0494,Adelie,Biscoe,FEMALE,40.8,17.0,196,2500,2,卵石,12.9
PG0495,Adelie,Biscoe,MALE,37.2,17.6,192,3923,2,沙地,8.8
PG0496,Gentoo,Biscoe,MALE,50.3,14.1,NaN,4922,1,沙地,3.5
PG0497,Gentoo,Biscoe,FEMALE,NaN,15.3,215,5464,2,沙地,2.9
PG0498,Gentoo,Biscoe,MALE,44.0,14.6,209,4978,2,沙地,NaN
PG0499,Adelie,Torgersen,FEMALE,41.5,18.2,192,3633,1,岩石,8.3
PG0500,Adelie,Biscoe,FEMALE,38.1,18.3,195,3938,2,卵石,12.4
